video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
n1WpP7iowLc,05.09.23,Eminem - Walk On Water (Audio) ft. Beyoncé,EminemVEVO,10,2017-11-10T17:00:03.000Z,"Eminem|Walk|On|Water|Aftermath/Shady/Interscope",17158579,787425,43420,125882,https://i.ytimg.com/vi/n1WpP7iowLc/default.jpg,False,False,False,"Eminem's new track Walk on Water ft. Beyoncé is available now."
QOawlQXpTAA,14.02.19,"How to Cook Perfect Steak - Gordon Ramsay",Gordon Ramsay,26,2017-11-01T15:00:03.000Z,"cooking|steak|Gordon Ramsay|recipe",12054879,685123,21478,102214,https://i.ytimg.com/vi/QOawlQXpTAA/default.jpg,False,False,False,"Gordon Ramsay demonstrates how to cook a perfect steak."
BXhIT4MpRis,25.12.21,Marvel Studios' Avengers: Infinity War Official Trailer,Marvel Entertainment,24,2017-11-29T15:00:03.000Z,"Marvel|Avengers|Infinity War|Trailer",204847579,3425176,25694,852135,https://i.ytimg.com/vi/BXhIT4MpRis/default.jpg,False,False,False,"Avengers: Infinity War. Watch the trailer now."
dQw4w9WgXcQ,01.01.20,Never Gonna Give You Up,RickAstleyVEVO,10,2017-10-20T12:00:03.000Z,"Rick Astley|Never Gonna Give You Up",12084759,572381,30501,132202,https://i.ytimg.com/vi/dQw4w9WgXcQ/default.jpg,False,False,False,"Rick Astley's classic Never Gonna Give You Up."
a1VjU5FDnQk,31.07.18,DIY Giant Pizza Challenge!!!,TroomTroom,24,2017-10-30T18:00:03.000Z,"DIY|pizza|challenge|fun",8458792,124578,20354,57841,https://i.ytimg.com/vi/a1VjU5FDnQk/default.jpg,False,False,False,"Watch as we attempt to create the biggest pizza ever!"
z1Vu8Kp4FF4,12.06.22,BTS (방탄소년단) 'DNA' Official MV,BIGHIT Music,10,2017-09-18T10:00:03.000Z,"BTS|DNA|Kpop|Big Hit",458745871,18457498,123104,3545874,https://i.ytimg.com/vi/z1Vu8Kp4FF4/default.jpg,False,False,False,"BTS drops the official music video for DNA."
YQHsXMglC9A,09.11.17,Adele - Hello,AdeleVEVO,10,2015-10-22T15:00:03.000Z,"Adele|Hello|ballad",244587659,10478437,78451,1587458,https://i.ytimg.com/vi/YQHsXMglC9A/default.jpg,False,False,False,"Adele's breathtaking ballad Hello is here."
o8npQe4ds1I,22.03.16,Tech Review: The Best Smartphones of 2017,Unbox Therapy,28,2017-12-01T10:00:03.000Z,"tech|smartphones|review|Unbox Therapy",3748579,457812,23854,102145,https://i.ytimg.com/vi/o8npQe4ds1I/default.jpg,False,False,False,"Unbox Therapy's ultimate smartphone review."
B4Hew1_NP8E,07.05.15,The Science Behind Exploding Volcanoes,Veritasium,28,2017-09-15T15:00:03.000Z,"science|volcano|explosion|Veritasium",1587452,124578,3041,85784,https://i.ytimg.com/vi/B4Hew1_NP8E/default.jpg,False,False,False,"Learn about the science behind volcanoes!"
NHD21uBP7so,18.10.14,Quick 10-Minute Workout to Burn Fat,SelfFitness,26,2017-08-12T09:00:03.000Z,"workout|fitness|quick|burn fat",984752,57485,1204,4578,https://i.ytimg.com/vi/NHD21uBP7so/default.jpg,False,False,False,"This 10-minute workout will get you in shape fast."
